what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1317172770188
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1317172770188
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1317172770198
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1317172770198
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1317172770198
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1317172770198
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1317172770198
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1317172770198
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1317172770198
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1317172770198
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1317172770198
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1317172770208
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1317172770208
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1317172770208
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1317172770238
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1317172770238
os,sysinfo,,,"win32",1317172770238
arch,sysinfo,,,"x86",1317172770238
ws,sysinfo,,,"win32",1317172770238
locale,sysinfo,,,"en_CA",1317172770238
processors,sysinfo,,,"8",1317172770238
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1317172770238
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1317172770238
java.specification.name,sysinfo,,,"Java Platform API Specification",1317172770238
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317172770238
java.specification.version,sysinfo,,,"1.6",1317172770238
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1317172770238
java.version,sysinfo,,,"1.6.0_27",1317172770238
java.vm.info,sysinfo,,,"mixed mode, sharing",1317172770238
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1317172770238
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1317172770238
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317172770238
java.vm.specification.version,sysinfo,,,"1.0",1317172770238
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1317172770238
java.vm.version,sysinfo,,,"20.2-b06",1317172770238
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1317172788468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1317172790808
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1317172790928
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1317172796588
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1317172798098
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1317172798208
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1317172800238
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1317172814268
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1317172814388
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1317172822918
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1317172830668
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1317172831078
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1317172831628
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1317172832008
